Survey ResponseID,privacy_level,n_recs,score_topk,score_out,gap_score,delta_s1_needed,delta_s2_needed,delta_s5_needed,s1_out,s1_topk,factible_s1,dificultad
R_037XK72IZBJyF69,Privada_sensible,15,0.43915096587380786,0.4388545628885355,0.0002964029852723371,0.0007410074631808428,0.0011856119410893484,0.002964029852723371,,,True,Muy fácil (Δ≤0.05)
R_038ZU6kfQ5f89fH,Privada_moderada,20,0.29320612033955024,0.287543662369468,0.005662457970082246,0.014156144925205616,0.022649831880328986,0.056624579700822464,,,True,Muy fácil (Δ≤0.05)
R_07oHvj3bLVVRCRb,Privada_sensible,20,0.3870998402546533,0.34811598605009186,0.03898385420456146,0.09745963551140366,0.15593541681824585,0.38983854204561463,,,True,Fácil (0.05-0.15)
R_0BCm9hRP9iTI081,Privada_sensible,20,0.28529828533816715,0.2727454660873933,0.012552819250773839,0.0313820481269346,0.050211277003095356,0.1255281925077384,,,True,Muy fácil (Δ≤0.05)
R_0BWkZUjRId7FDZn,Privada_moderada,7,0.2843192361906529,0.244590408256626,0.039728827934026906,0.09932206983506726,0.15891531173610762,0.39728827934026906,,,True,Fácil (0.05-0.15)
R_0D6GtQwa6VcnXpv,Privada_sensible,15,0.3418053382882297,0.33058210366700025,0.011223234621229428,0.02805808655307357,0.04489293848491771,0.11223234621229428,,,True,Muy fácil (Δ≤0.05)
R_0DoXqOQl0hxEeFH,Privada_sensible,20,0.7674779404360924,0.7509795180328691,0.0164984224032233,0.04124605600805825,0.0659936896128932,0.164984224032233,,,True,Muy fácil (Δ≤0.05)
R_0Hzrb8hEmXavTk5,Privada_sensible,20,0.5038922840926086,0.4510332643982435,0.05285901969436507,0.13214754923591268,0.2114360787774603,0.5285901969436507,,,True,Fácil (0.05-0.15)
R_0IBgnbXoP4Uvvhv,No_privada,20,0.6042681028579816,0.5985290350764485,0.005739067781533103,0.014347669453832756,0.02295627112613241,0.057390677815331026,,,True,Muy fácil (Δ≤0.05)
R_0MwMIcbYO11SOwV,Privada_sensible,20,0.7998390155724934,0.7588203565005615,0.04101865907193192,0.1025466476798298,0.16407463628772767,0.4101865907193192,,,True,Fácil (0.05-0.15)
R_0UsrHmkw7rRzoeB,Privada_sensible,20,0.4144417259555782,0.3934705116532349,0.020971214302343333,0.05242803575585833,0.08388485720937333,0.20971214302343333,,,True,Fácil (0.05-0.15)
R_0dNGfZ4GvtFvxu1,Privada_sensible,13,0.5472615536654999,0.4424767538877773,0.10478479977772259,0.2619619994443065,0.41913919911089037,1.047847997777226,,,True,Moderado (0.15-0.30)
R_0f8u2tSB99LkgCt,No_privada,20,0.6913137109788715,0.6315910933970648,0.05972261758180675,0.14930654395451687,0.238890470327227,0.5972261758180675,,,True,Fácil (0.05-0.15)
R_0ik28Zx98AWSuWd,Privada_sensible,20,0.4146099453207904,0.4079032386029898,0.006706706717800548,0.01676676679450137,0.026826826871202192,0.06706706717800548,,,True,Muy fácil (Δ≤0.05)
R_0jFt3K3i4558lbj,No_privada,20,0.5138208288184921,0.2509683363622663,0.26285249245622583,0.6571312311405645,1.0514099698249033,2.628524924562258,,,False,Difícil (>0.30)
R_0lHgeveolyaJhND,Privada_sensible,20,0.6899365406423956,0.669255086226124,0.020681454416271672,0.05170363604067918,0.08272581766508669,0.20681454416271672,,,True,Fácil (0.05-0.15)
R_0pRmRjHkwStzNQJ,Privada_sensible,20,0.30896596536447773,0.3017339336618935,0.007232031702584241,0.0180800792564606,0.028928126810336963,0.0723203170258424,,,True,Muy fácil (Δ≤0.05)
R_0wCTiXC54rMN0J3,Privada_sensible,20,0.696902730454442,0.5884170490461679,0.10848568140827408,0.2712142035206852,0.4339427256330963,1.0848568140827408,,,True,Moderado (0.15-0.30)
R_10CAlrx7dbJty9R,No_privada,20,0.433729767441036,0.3930690089569485,0.040660758484087456,0.10165189621021864,0.16264303393634982,0.40660758484087456,,,True,Fácil (0.05-0.15)
R_10GfwNctrOL9e2t,Privada_sensible,10,0.27087084062802685,0.25536747257521936,0.015503368052807498,0.038758420132018745,0.06201347221122999,0.15503368052807498,,,True,Muy fácil (Δ≤0.05)
R_10HG4OAAtFluUS1,No_privada,11,0.22851057424989824,0.22550130513493727,0.0030092691149609663,0.007523172787402416,0.012037076459843865,0.030092691149609663,,,True,Muy fácil (Δ≤0.05)
R_10HuhR86y7hZJYL,Privada_sensible,10,0.7636514108185944,0.7078557584941886,0.055795652324405864,0.13948913081101466,0.22318260929762346,0.5579565232440586,,,True,Fácil (0.05-0.15)
R_10JcbruZLDf9fy2,Privada_sensible,20,0.3293813561480334,0.29992883621139804,0.029452519936635335,0.07363129984158834,0.11781007974654134,0.29452519936635335,,,True,Fácil (0.05-0.15)
R_10O88fl87fP9wfM,No_privada,11,0.524162568208243,0.4904137924265136,0.03374877578172941,0.08437193945432353,0.13499510312691765,0.3374877578172941,,,True,Fácil (0.05-0.15)
R_10TA7pCDmelHi5H,Privada_sensible,20,0.5014633644517971,0.355622122442288,0.14584124200950904,0.3646031050237726,0.5833649680380362,1.4584124200950903,,,False,Difícil (>0.30)
R_10TV1zyi4yCEEkl,Privada_moderada,8,0.27614707736468347,0.2607523593978114,0.015394717966872085,0.03848679491718021,0.06157887186748834,0.15394717966872085,,,True,Muy fácil (Δ≤0.05)
R_10UIzdrJBjoXiRu,Privada_sensible,20,0.3964408823791045,0.39232593946656563,0.004114942912538888,0.01028735728134722,0.016459771650155552,0.04114942912538888,,,True,Muy fácil (Δ≤0.05)
R_10VEwmndSsl39vM,Privada_sensible,11,0.2276306460158322,0.2217558835278486,0.005874762487983576,0.01468690621995894,0.023499049951934303,0.05874762487983576,,,True,Muy fácil (Δ≤0.05)
R_10YhHZtIc1xIXOM,Privada_sensible,9,0.568403498767577,0.55637637550641,0.012027123261167061,0.030067808152917652,0.048108493044668243,0.12027123261167061,,,True,Muy fácil (Δ≤0.05)
R_10YnFpDzlwQlmrX,Privada_sensible,20,0.5289070643295966,0.5126683344218833,0.016238729907713245,0.04059682476928311,0.06495491963085298,0.16238729907713245,,,True,Muy fácil (Δ≤0.05)
R_10ZbrhoAZPaSEW1,No_privada,20,0.5442118036986459,0.5219915657099892,0.022220237988656688,0.05555059497164172,0.08888095195462675,0.22220237988656688,,,True,Fácil (0.05-0.15)
R_10qrHohvVyRhmA4,No_privada,7,0.1738653280490853,0.15575603277130312,0.018109295277782184,0.04527323819445546,0.07243718111112873,0.18109295277782184,,,True,Muy fácil (Δ≤0.05)
R_10vz4qJDEgUnMop,Privada_sensible,6,0.2819695169760723,0.27131420246234245,0.010655314513729863,0.026638286284324658,0.04262125805491945,0.10655314513729863,,,True,Muy fácil (Δ≤0.05)
R_10wSqGFumZGSTmH,Privada_sensible,8,0.36843304996555276,0.33658005115228834,0.03185299881326442,0.07963249703316105,0.12741199525305769,0.3185299881326442,,,True,Fácil (0.05-0.15)
R_10xh23ROf2jC9rP,Privada_moderada,6,0.3895005373757635,0.30156595491714727,0.08793458245861624,0.2198364561465406,0.35173832983446496,0.8793458245861624,,,True,Moderado (0.15-0.30)
R_117LDoOnJxdPvkb,Privada_sensible,10,0.2068442893261829,0.17308314864567004,0.03376114068051286,0.08440285170128216,0.13504456272205145,0.33761140680512863,,,True,Fácil (0.05-0.15)
R_11WUgIV4IWfGoDX,Privada_sensible,7,0.2648608953915858,0.22241045114682026,0.042450444244765545,0.10612611061191386,0.16980177697906218,0.42450444244765545,,,True,Fácil (0.05-0.15)
R_11apGEU5o3Mncee,Privada_sensible,20,0.18324488140261683,0.17941185451739386,0.0038330268852229676,0.009582567213057419,0.01533210754089187,0.038330268852229676,,,True,Muy fácil (Δ≤0.05)
R_11cJ3be1pQV32hb,Privada_sensible,20,0.5857825986678468,0.4273525786542634,0.15843002001358336,0.3960750500339584,0.6337200800543334,1.5843002001358335,,,False,Difícil (>0.30)
R_11cp7qScmrrE4EF,Privada_sensible,20,0.2889082559334346,0.2802879659246635,0.008620290008771125,0.021550725021927813,0.0344811600350845,0.08620290008771125,,,True,Muy fácil (Δ≤0.05)
R_11gymhOPZz4baOa,Privada_sensible,20,0.5839537253737647,0.29908363608177124,0.2848700892919934,0.7121752232299835,1.1394803571679737,2.848700892919934,,,False,Difícil (>0.30)
R_11hGWSRiBd8HPmC,Privada_sensible,20,0.5283730111465595,0.5204370513643155,0.00793595978224404,0.0198398994556101,0.03174383912897616,0.0793595978224404,,,True,Muy fácil (Δ≤0.05)
R_129jUlsvVcVBDur,Privada_moderada,20,0.3770686369733452,0.3686708566896043,0.008397780283740885,0.020994450709352214,0.03359112113496354,0.08397780283740885,,,True,Muy fácil (Δ≤0.05)
R_12EeuI1AdMnuvET,Privada_moderada,14,0.3986351753079362,0.3950997280297666,0.003535447278169568,0.00883861819542392,0.014141789112678271,0.03535447278169568,,,True,Muy fácil (Δ≤0.05)
R_12G93XcmsS5F4Ea,No_privada,12,0.4121233307842174,0.3870942112158393,0.02502911956837811,0.06257279892094528,0.10011647827351244,0.2502911956837811,,,True,Fácil (0.05-0.15)
R_12L1tdacu5Cc4GE,Privada_sensible,6,0.20321217741194092,0.18255392467679948,0.020658252735141436,0.05164563183785359,0.08263301094056574,0.20658252735141436,,,True,Fácil (0.05-0.15)
R_12QFQ7lCIls8sRd,Privada_moderada,19,0.3641950834186522,0.35476660947450617,0.009428473944146032,0.02357118486036508,0.03771389577658413,0.09428473944146032,,,True,Muy fácil (Δ≤0.05)
R_12Qo1HO9MWmZ5Az,Privada_sensible,7,0.7237605152715597,0.6865510255701618,0.037209489701397924,0.09302372425349481,0.1488379588055917,0.37209489701397924,,,True,Fácil (0.05-0.15)
R_12bC3rUwQ2h1sz5,Privada_sensible,20,0.4200447843275026,0.4041976635090494,0.015847120818453186,0.039617802046132966,0.06338848327381275,0.15847120818453186,,,True,Muy fácil (Δ≤0.05)
R_12bTyDTgHUIoMUQ,No_privada,20,0.5286776426341535,0.515529584331786,0.013148058302367538,0.032870145755918845,0.05259223320947015,0.13148058302367538,,,True,Muy fácil (Δ≤0.05)
R_12bxXZmV1h6iVAL,Privada_sensible,20,0.5765509678508144,0.5336044060168773,0.04294656183393708,0.1073664045848427,0.17178624733574832,0.4294656183393708,,,True,Fácil (0.05-0.15)
R_12kYTBVH8kS49hc,No_privada,10,0.6479117992296451,0.4728822122527767,0.17502958697686843,0.4375739674421711,0.7001183479074737,1.7502958697686843,,,False,Difícil (>0.30)
R_12mdsq5k8OiJ8ji,No_privada,20,0.25979131376994213,0.25781233784824675,0.0019789759216953806,0.0049474398042384515,0.007915903686781522,0.019789759216953806,,,True,Muy fácil (Δ≤0.05)
R_12xnmbrb1eoH9nn,Privada_sensible,11,0.5173068590635579,0.39548736680420093,0.12181949225935695,0.3045487306483924,0.4872779690374278,1.2181949225935695,,,False,Difícil (>0.30)
R_1BNwZP0DdTOa4rT,Privada_sensible,20,0.4758141488742805,0.46358308540740634,0.012231063466874137,0.030577658667185342,0.04892425386749655,0.12231063466874137,,,True,Muy fácil (Δ≤0.05)
R_1BOXzyVhrXiWrFg,Privada_sensible,20,0.5596098163690617,0.46078408433887474,0.09882573203018696,0.2470643300754674,0.39530292812074785,0.9882573203018696,,,True,Moderado (0.15-0.30)
R_1BPepcPkpmd3HIv,Privada_sensible,20,0.6247578609647535,0.5194927243943481,0.10526513657040537,0.2631628414260134,0.4210605462816215,1.0526513657040537,,,True,Moderado (0.15-0.30)
R_1BWAygjxkFXfxql,Privada_sensible,16,0.450826180035881,0.4323359730520599,0.01849020698382109,0.04622551745955272,0.07396082793528436,0.1849020698382109,,,True,Muy fácil (Δ≤0.05)
R_1BWxQW5L2MlpDCd,Privada_sensible,20,0.7296006316247,0.6471801311011174,0.08242050052358263,0.20605125130895657,0.3296820020943305,0.8242050052358263,,,True,Moderado (0.15-0.30)
R_1C1nnqKIVMlhfTh,No_privada,20,0.4516884193397975,0.41665775778800096,0.035030661551796516,0.08757665387949129,0.14012264620718606,0.35030661551796516,,,True,Fácil (0.05-0.15)
R_1C465BAQuYyIY3s,Privada_moderada,8,0.36796088079203254,0.32358512321947336,0.04437575757255918,0.11093939393139796,0.17750303029023673,0.4437575757255918,,,True,Fácil (0.05-0.15)
R_1C4nKyrv0w2thJn,Privada_moderada,20,0.5776606431979608,0.536066886525773,0.0415937566721879,0.10398439168046975,0.1663750266887516,0.415937566721879,,,True,Fácil (0.05-0.15)
R_1C4tcyEfmcsKI9X,Privada_sensible,20,0.2925907159174183,0.2881814117017574,0.004409304215660936,0.01102326053915234,0.017637216862643745,0.04409304215660936,,,True,Muy fácil (Δ≤0.05)
R_1C75XRebT1eliL0,No_privada,20,0.23883112885665592,0.230354046913311,0.008477081943344927,0.02119270485836232,0.03390832777337971,0.08477081943344927,,,True,Muy fácil (Δ≤0.05)
