Survey ResponseID,n_recs,ild_category,ild_cat1,ild_cat2,ild_pct,avg_score,avg_reasons,hit_rate,privacy_level,exp_group,total_products,category_diversity,is_category_specialist,category_top1,cuartil_hist
R_Od33rLRnqYAGCPv,1,1,1,1,1.0,1.0,3.0,1.0,Privada_sensible,na,179.0,115,False,PHYSICAL_VIDEO_GAME_SOFTWARE,Q1 cold-start
R_OdOK4CH8YxSw3Sx,6,4,4,5,0.6666666666666666,0.4446760750481165,2.6666666666666665,0.16666666666666666,Privada_sensible,na,66.0,41,False,ABIS_BOOK,Q1 cold-start
R_OdTirYYBS6ms6nn,9,6,4,3,0.6666666666666666,0.6472327726310005,3.0,0.6666666666666666,No_privada,na,1117.0,225,False,HERBAL_SUPPLEMENT,Q4 historial rico
R_Odixb15Ykmxb0Dn,20,16,9,7,0.8,0.4258814658819512,3.0,0.9,No_privada,na,772.0,196,False,NUTRITIONAL_SUPPLEMENT,Q4 historial rico
R_OfntYUzw43qHbuF,20,8,7,4,0.4,0.3236946270170774,1.65,0.1,Privada_sensible,na,630.0,245,False,PET_FOOD,Q3
R_Og8Cqd3iUgldHRn,10,5,5,5,0.5,0.2996363261508756,3.0,0.1,Privada_moderada,treated,345.0,147,False,PROTECTIVE_GLOVE,Q2
R_Og8sDefGp0SvLl7,20,13,9,5,0.65,0.30185576373453654,2.15,0.05,Privada_sensible,na,620.0,179,False,COFFEE,Q3
R_OiYmnNVvK5ABUK5,2,2,2,2,1.0,0.6584053913062254,2.0,0.5,Privada_sensible,na,274.0,70,True,NAN,Q2
R_OjlLW9R5P9Laan7,1,1,1,1,1.0,1.0,3.0,1.0,No_privada,na,151.0,92,False,ELECTRONIC_CABLE,Q1 cold-start
R_OkSi9IxX5ddzzl7,12,9,7,5,0.75,0.3875357543591162,2.4166666666666665,0.08333333333333333,Privada_sensible,na,347.0,156,False,SHIRT,Q2
R_Okx3CWwKxUas8i5,20,16,8,6,0.8,0.6364447962699454,2.3,0.95,Privada_sensible,na,430.0,133,False,PET_FOOD,Q3
R_Om5DLvyVK2GS8Mh,8,2,2,2,0.25,0.5106467106092867,2.375,0.75,Privada_sensible,na,272.0,154,False,COFFEE,Q2
R_OoCZrVwXnQOuoOl,14,10,7,5,0.7142857142857143,0.3076741074726413,3.0,0.21428571428571427,No_privada,na,739.0,213,False,PET_FOOD,Q4 historial rico
R_OqFCNCGYAFOqwAp,2,2,2,2,1.0,0.6398180841864478,3.0,1.0,No_privada,na,222.0,90,False,ABIS_BOOK,Q2
R_Oqwn8h7JmD9kZLr,3,2,2,2,0.6666666666666666,0.5718429784875076,3.0,0.6666666666666666,Privada_moderada,control,449.0,207,False,NAN,Q3
R_OwFousWyWRNjaoN,9,7,7,8,0.7777777777777778,0.2737345660842794,2.888888888888889,0.5555555555555556,Privada_moderada,control,837.0,291,False,COFFEE,Q4 historial rico
R_OwY4A97Yuej2Sw9,4,4,4,4,1.0,0.5089922065222046,2.5,0.25,Privada_sensible,na,184.0,85,False,ELECTRONIC_COMPONENT_FAN,Q1 cold-start
R_Ox1a2sI5ubUPpzr,20,8,6,4,0.4,0.5020598373816927,3.0,0.15,No_privada,na,35.0,12,False,GIFT_CARD,Q1 cold-start
R_Ox2cOKKad6zHXtT,1,1,1,1,1.0,1.0,3.0,1.0,Privada_moderada,control,950.0,196,False,FOOD,Q4 historial rico
R_OxNH1wcmFs7pICR,20,16,8,6,0.8,0.3975423076951354,2.2,0.1,Privada_sensible,na,1014.0,157,False,CHEWING_GUM,Q4 historial rico
R_PARHT7W9jKxfvNf,1,1,1,1,1.0,1.0,2.0,1.0,Privada_sensible,na,314.0,106,False,ELECTRONIC_CABLE,Q2
R_PAnFG4PYe1dcmKR,2,2,2,2,1.0,0.9992514868653994,3.0,1.0,Privada_sensible,na,131.0,87,False,NAN,Q1 cold-start
R_PBf0FEpFdxz7kU9,20,11,7,5,0.55,0.29086907060553646,2.05,0.75,Privada_sensible,na,349.0,98,False,TAMPON,Q2
R_PHgbX4EoPqUsLjb,20,15,10,7,0.75,0.5198483706570223,2.75,0.95,Privada_sensible,na,960.0,343,False,PET_FOOD,Q4 historial rico
R_PIh2hZw71jXMbrX,4,3,3,3,0.75,0.7034324019314162,2.75,0.75,Privada_sensible,na,268.0,105,False,SHIRT,Q2
R_PIhjSFbZrFzqmf7,8,6,4,3,0.75,0.4833246984994075,2.625,0.25,Privada_sensible,na,268.0,120,False,NAN,Q2
