feature,label,weight,mean_abs_shap,mean_shap,std_shap
S1_copurchase,Co-compra,0.4,0.06475368110045321,7.646314137410571e-17,0.09669667785690673
S2_affinities,Afinidad perfil,0.25,0.021394442092165532,-1.2389395065426357e-17,0.025575248757772635
S5_popularity,Popularidad,0.1,0.011151192013415552,9.016051794041857e-17,0.013894546607815536
S3_temporal_eff,Estacionalidad,0.2,0.00173159578246539,-4.066212410590254e-17,0.0033591220920453106
S4_recency_item,Recencia ítem,0.05,0.0016874740347426814,2.7750534075526855e-17,0.0020160441600735536
