,Co-compra,Afinidad perfil,Estacionalidad,Recencia ítem,Popularidad
Co-compra,1.0,0.08529754569485781,-0.002932864386213973,0.013123535271424158,-0.010457704072353071
Afinidad perfil,0.08529754569485781,1.0,0.06138228038689122,0.009484809051462198,0.05694040597925812
Estacionalidad,-0.002932864386213973,0.06138228038689122,1.0,0.013328322441862137,0.04066559496715578
Recencia ítem,0.013123535271424158,0.009484809051462198,0.013328322441862137,1.0,0.5447112989199991
Popularidad,-0.010457704072353071,0.05694040597925812,0.04066559496715578,0.5447112989199991,1.0
